"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","LAP","CO","SV","MAP","coMax","winLo","winHi","window","toWet","lap500","lap1000","co500","co1000","lapDiur","coDiur","aftLAP","aftSVpct","aftMAP","surgeLAP","surgeMAP","af70CO","af70LAP","af110CO","af110LAP","af130CO","af130LAP"
"g3-029",3,0,0.068222,0.048179,0.32269,3.422,0.93934,0.42018,62.902,981.45,1.1324,0.79615,0.098635,66.336,18.419,3.7809,56.996,82.579,3.7809,-1470,-70,1400,0,3.2279,6.4411,-0.0079457,-0.031296,-6.895,-0.11822,1.2025,-9.4101,24.539,5.0196,29.841,-6.0054,-0.65865,4.1185,0.54851,-5.6715,3.8199
"g3-030",3,0,0.073517,0.061912,0.28877,2.8668,1.1459,0.37046,58.34,974.67,1.0193,0.83097,0.06091,71.017,22.957,3.506,49.366,69.094,3.5077,-1360,-610,750,0,3.7763,7.4184,-0.0020633,-0.02096,-8.6305,-0.14954,1.1255,-11.202,18.784,5.6129,23.485,-12.321,-0.73452,0.99235,-1.8248,-8.6913,-0.21487
"g3-031",3,0,0.066869,0.055679,0.3671,2.5083,0.83083,0.4625,64.505,953.53,1.0932,1.0168,0.11262,62.275,20.928,2.9106,46.74,62.39,2.9106,-1420,-400,1020,0,3.4928,6.8695,-0.0091414,-0.034507,-7.9488,-0.10641,1.243,-11.332,16.511,5.3916,20.927,1.0489,-1.3605,18.842,-2.3784,9.7276,-1.0867
"g3-032",3,0,0.073197,0.062991,0.33945,3.8717,1.036,0.48261,80.806,944.45,1.2967,0.73799,0.077668,62.089,21.949,2.9342,47.26,72.814,2.9347,-1440,-520,920,0,3.6077,7.1007,-0.0044262,-0.021317,-8.1609,-0.10683,1.0259,-10.094,21.229,5.2806,26.155,0.29227,-1.379,10.1,-1.6261,-1.4281,0.88496
"g3-033",3,0,0.065421,0.054247,0.30533,2.6541,1.0065,0.42794,67.336,1085.5,1.423,0.68139,0.10234,69.929,24.361,3.2207,46.056,87.591,3.2207,-1680,-830,850,0,3.6064,7.1312,-0.0084436,-0.025546,-7.8511,-0.062942,1.6681,-13.365,21.699,5.9682,26.663,-9.9614,-0.97637,8.1222,-1.9347,1.1478,-0.35764
"g3-034",3,0,0.074451,0.055872,0.26971,2.8751,1.1265,0.36869,69.622,905.91,1.3649,0.76748,0.090052,77.58,19.97,3.6252,46.73,91.442,3.6548,-1040,-250,790,0,3.7744,7.4051,0.02664,0.027131,-8.3131,-0.2919,1.2568,-13.429,23.514,5.8428,29.664,-17.371,0.097116,-10.949,0.0094908,-19.481,2.6645
"g3-035",3,0,0.060644,0.054285,0.26132,3.619,1.0446,0.44103,89.876,1090.9,1.4859,1.1227,0.090713,66.498,20.837,3.4711,52.199,98.045,3.4711,-1690,-410,1280,0,3.4079,6.7839,-0.004903,-0.020526,-7.1059,-0.064966,1.1335,-11.28,27.104,5.1211,32.614,-6.1114,-0.71624,9.1349,-0.69132,1.2961,2.0985
"g3-036",3,0,0.071656,0.046756,0.26176,3.3509,1.1254,0.35366,67.658,1005.4,1.0511,0.92204,0.099136,60.519,16.737,3.7331,61.684,77.609,3.7331,-1500,200,1700,200,3.1422,6.3055,-0.011205,-0.036744,-6.3243,-0.081693,1.0226,-8.1927,23.617,4.6905,28.883,-0.96662,-0.43488,6.3518,1.8225,-5.3754,5.4021
"g3-037",3,0,0.069457,0.051421,0.26,2.8648,1.3292,0.37047,78.269,1127,1.3383,0.75223,0.072615,74.579,23.481,3.9008,52.312,99.672,3.9017,-1660,-750,910,0,3.5718,7.0897,-0.0022058,-0.01528,-7.4817,-0.081105,1.5392,-12.602,25.752,5.7949,31.311,-17.009,-0.341,-5.1345,-0.1742,-12.997,2.5952
"g3-038",3,0,0.073743,0.055634,0.31349,2.9808,1.0793,0.41974,77.695,973.61,1.1663,0.79636,0.080057,65.37,21.077,3.2659,49.958,73.721,3.2659,-1480,-420,1060,0,3.5486,7.0171,-0.0052857,-0.024251,-7.7778,-0.1063,1.1934,-10.909,20.344,5.399,25.312,-5.4596,-0.91243,5.0853,-0.92707,-5.2308,1.4348
